"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4458429";"";"None";"373.43";"0";"2.65";"56";"COc1ccc(/C=C/C(=O)/C=C/c2ccc(S(N)(=O)=O)cc2)cc1OC";"Ki";"'='";"0.75";"nM";"9.12";"";"";"UO_0000065";"24.44";"0.48";"6.47";"9.54";"0";"CHEMBL4403471";"Inhibition of human carbonic anhydrase 2 incubated for 15 mins by stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402533";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"0.75"
"CHEMBL266240";"";"None";"285.73";"0";"-0.78";"12";"Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O";"Ki";"'='";"75.0";"nM";"7.12";"";"";"UO_0000065";"24.94";"0.61";"7.90";"4.87";"1";"CHEMBL2327206";"Inhibition of human recombinant carbonic anhydrase 2 by stopped flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2321746";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"75.0"
"CHEMBL6853";"";"None";"190.20";"0";"0.06";"7";"Nc1ccc(S(N)(=O)=O)cc1F";"Ki";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"37.97";"0.82";"7.16";"8.38";"1";"CHEMBL4427979";"Inhibition of human cytosolic carbonic anhydrase 2 preincubated for 15 mins by stop flow CO2 hydrase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4425192";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"60.0"
"CHEMBL2324869";"";"None";"242.08";"0";"1.35";"10";"NS(=O)(=O)c1cc(Cl)cc(Cl)c1O";"Ki";"'='";"54.0";"nM";"7.27";"";"";"UO_0000065";"30.02";"0.76";"5.92";"9.04";"1";"CHEMBL4427979";"Inhibition of human cytosolic carbonic anhydrase 2 preincubated for 15 mins by stop flow CO2 hydrase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4425192";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"54.0"
"CHEMBL328560";"SULTHIAME";"3.0";"290.37";"0";"0.26";"SLT";"NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1";"Ki";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"27.71";"0.61";"7.79";"8.25";"1";"CHEMBL4427979";"Inhibition of human cytosolic carbonic anhydrase 2 preincubated for 15 mins by stop flow CO2 hydrase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4425192";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"9.0"
"CHEMBL4071722";"";"None";"419.50";"0";"3.11";"8i";"Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccc3F)cc2)sc1S(N)(=O)=O";"Ki";"'='";"4.9";"nM";"8.31";"";"";"UO_0000065";"19.81";"0.41";"5.20";"8.90";"0";"CHEMBL4010464";"Inhibition of recombinant human Carbonic anhydrase 2 assessed as reduction in CO2 hydration preincubated for 15 mins prior to testing measured for 10 to 100 secs by stopped-flow assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007464";"1";"Scientific Literature";"J Med Chem";"2017";"None";"";"";"";"4.9"
"CHEMBL4592596";"";"None";"301.33";"0";"1.03";"9a";"NS(=O)(=O)c1ccc(-n2ncc3ccccc3c2=O)cc1";"Ki";"'='";"0.23";"nM";"9.64";"";"";"UO_0000065";"31.99";"0.63";"8.61";"10.14";"0";"CHEMBL4391787";"Inhibition of human cytosolic CA 2 preincubated for 15 mins by phenol red dye-based stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390661";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"0.23"
"CHEMBL220491";"BRINZOLAMIDE";"4.0";"383.52";"0";"0.09";"Brinzolamide";"CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"Ki";"'='";"3.0";"nM";"8.52";"";"";"UO_0000065";"22.22";"0.51";"8.43";"7.17";"1";"CHEMBL4391783";"Inhibition of full length human CA 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390661";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"3.0"
"CHEMBL2325978";"";"None";"519.65";"2";"0.14";"20";"CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CNCC(=O)Nc2nnc(S(N)(=O)=O)s2)[C@H](O)C[C@@H]1O";"Ki";"'='";"39.81";"nM";"7.40";"";"";"UO_0000065";"14.24";"0.30";"7.26";"3.82";"0";"CHEMBL2329241";"Inhibition of human recombinant carbonic anhydrase 2 by dansylamide (DNSA) competition assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2321768";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"7.4"
"CHEMBL223215";"";"None";"386.39";"0";"-2.13";"14";"NS(=O)(=O)c1ccc(-n2cc(COC3OC[C@@H](O)[C@@H](O)[C@@H]3O)nn2)cc1";"Ki";"'='";"6.9";"nM";"8.16";"";"";"UO_0000065";"21.12";"0.43";"10.29";"4.80";"0";"CHEMBL919951";"Inhibition of human recombinant isozyme CA2 by CO2 hydration method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142983";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"6.9"
